Board 1 ;07:45:16 AM; Measure: -1; T1: 28; T2: 24
Board 1 ;07:45:46 AM; Measure: 0; T1: 28; T2: 24
Board 1 ;07:46:16 AM; Measure: 0; T1: 28; T2: 24
Board 1 ;07:46:46 AM; Measure: -1; T1: 28; T2: 24
Board 1 ;07:47:16 AM; Measure: -1; T1: 28; T2: 24
Board 1 ;07:47:46 AM; Measure: -2; T1: 28; T2: 24
Board 1 ;07:48:16 AM; Measure: -2; T1: 28; T2: 24
Board 1 ;07:48:46 AM; Measure: -2; T1: 28; T2: 24
Board 1 ;07:49:16 AM; Measure: -2; T1: 28; T2: 24
Board 1 ;07:49:46 AM; Measure: -3; T1: 28; T2: 24
Board 1 ;07:50:16 AM; Measure: -3; T1: 28; T2: 24
Board 1 ;07:50:46 AM; Measure: -3; T1: 28; T2: 24
Board 1 ;07:51:16 AM; Measure: -3; T1: 28; T2: 24
Board 1 ;07:51:46 AM; Measure: -3; T1: 28; T2: 24
Board 1 ;07:52:16 AM; Measure: -4; T1: 28; T2: 24
Board 1 ;07:52:46 AM; Measure: -6; T1: 28; T2: 24
Board 1 ;07:53:16 AM; Measure: -5; T1: 28; T2: 24
Board 1 ;07:53:46 AM; Measure: -5; T1: 28; T2: 24
Board 1 ;07:54:16 AM; Measure: -5; T1: 28; T2: 24
Board 1 ;07:54:46 AM; Measure: -5; T1: 28; T2: 24
Board 1 ;07:55:16 AM; Measure: -6; T1: 28; T2: 24
Board 1 ;07:55:46 AM; Measure: -5; T1: 28; T2: 24
Board 1 ;07:56:16 AM; Measure: -6; T1: 28; T2: 24
Board 1 ;07:56:46 AM; Measure: -5; T1: 28; T2: 25
Board 1 ;07:57:16 AM; Measure: -6; T1: 28; T2: 24
Board 1 ;07:57:46 AM; Measure: -7; T1: 28; T2: 24
Board 1 ;07:58:16 AM; Measure: -7; T1: 28; T2: 24
Board 1 ;07:58:46 AM; Measure: -7; T1: 28; T2: 24
Board 1 ;07:59:16 AM; Measure: -7; T1: 28; T2: 24
Board 1 ;07:59:46 AM; Measure: -8; T1: 28; T2: 24
Board 1 ;08:00:16 AM; Measure: -10; T1: 28; T2: 24
Board 1 ;08:00:46 AM; Measure: -9; T1: 28; T2: 24
Board 1 ;08:01:16 AM; Measure: -10; T1: 28; T2: 24
Board 1 ;08:01:46 AM; Measure: -11; T1: 28; T2: 24
Board 1 ;08:02:16 AM; Measure: -12; T1: 28; T2: 24
Board 1 ;08:02:46 AM; Measure: -13; T1: 28; T2: 24
Board 1 ;08:03:16 AM; Measure: -14; T1: 28; T2: 24
Board 1 ;08:03:46 AM; Measure: -14; T1: 28; T2: 24
Board 1 ;08:04:16 AM; Measure: -15; T1: 28; T2: 24
Board 1 ;08:04:46 AM; Measure: -16; T1: 28; T2: 24
